Country Code,Year,AG.LND.TOTL.K2,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PC,IT.CEL.SETS.P2,IT.NET.USER.ZS,NY.ADJ.DRES.GN.ZS,NY.ADJ.SVNX.GN.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.TER.ENRR,SH.XPD.CHEX.GD.ZS,SL.EMP.TOTL.SP.ZS,SL.TLF.ACTI.ZS,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,Region,Income Group
ABW,2020,180.0,28.8,100.0,0.2683587726566018,132.2887836,97.17,0.0031185857865717,-2.67866645168496,2558906303.8809776,24008.12782174769,82.9104614257812,115.184997558594,53.5063400268555,18.4336795806885,11.81859016,42.472,48.449,10.1,75.723,0.134255302359952,106585.0,56.303,43.697,Latin America & Caribbean,High income
ABW,2022,180.0,28.8,99.9,0.2683587726566018,132.3496283,97.17,0.0021293634135268,7.06315098566335,3544707788.0566425,33300.83881870114,82.9104614257812,115.184997558594,53.5063400268555,18.4336795806885,11.81859016,42.472,48.449,10.1,74.992,-0.0863922826549927,106445.0,55.948,44.052,Latin America & Caribbean,High income
AFG,2020,652230.0,33.8,97.7,0.2234788720070676,58.1902139,18.4,0.2436683825099129,7.06315098566335,19955929052.149597,512.0550980056722,86.1755218505859,110.007507324219,57.0392990112305,10.8584403991699,15.53361416,36.711,42.609,11.71,62.575,3.13474690779163,38972230.0,73.974,26.026,South Asia,Low income
AFG,2022,652230.0,36.1,85.3,0.2234788720070676,56.55443457,18.4,0.3359349346469567,7.06315098566335,14502158192.090397,352.6037330921071,86.1755218505859,110.007507324219,57.0392990112305,10.8584403991699,21.82794952,32.333,38.5,14.1,62.879,2.53449831666733,41128771.0,73.384,26.616,South Asia,Low income
AGO,2020,1246700.0,49.7,47.0,0.5927429677790373,43.81009059,32.55014678,16.46353582398497,9.71794618394985,48501561203.568634,1450.9051113941755,86.1755218505859,88.5749969482422,53.5814514160156,11.0609998703003,3.22070646,62.55,76.009,16.676,62.261,3.26834840458456,33428486.0,33.175,66.825,Sub-Saharan Africa,Lower middle income
AGO,2022,1246700.0,50.0,48.5,0.5927429677790373,67.37347427,32.60230173,23.269682921823303,14.0408534283719,104399746853.4014,2933.48464381415,86.1755218505859,88.5749969482422,53.5814514160156,11.0609998703003,2.96010613,64.447,76.156,14.693,61.929,3.09675267067326,35588987.0,31.918999999999997,68.081,Sub-Saharan Africa,Lower middle income
ALB,2020,27400.0,83.1,100.0,1.5445501152457373,91.35050062,72.23767711,0.4984477529149551,-2.35514458344734,15162734205.246202,5343.037703995597,99.4685897827148,100.61360168457,96.1674728393555,61.392578125,7.51920271,50.001,67.363,12.79,76.989,-0.574206959244013,2837849.0,37.888,62.112,Europe & Central Asia,Upper middle income
ALB,2022,27400.0,84.6,100.0,1.5445501152457373,97.88570679,82.61368583,0.8011667301690784,3.29652877577894,18916378860.54883,6810.1140410423295,97.7489929199219,95.6067123413086,95.7034072875977,62.731990814209,7.26731825,53.304,71.367,11.588,76.833,-1.21579032012532,2777689.0,36.201,63.799,Europe & Central Asia,Upper middle income
AND,2020,470.0,100.0,100.0,5.7771479922779925,103.4491634,93.20564892,0.8011667301690784,3.29652877577894,2891001149.361105,37207.22199949942,62.7099685668945,88.7170867919922,96.4627532958984,15.0982704162598,8.78673935,53.304,71.367,11.588,76.833,1.76189129507448,77700.0,12.084000000000003,87.916,Europe & Central Asia,High income
AND,2022,470.0,100.0,100.0,5.7771479922779925,142.2141211,93.89752157,0.8011667301690784,3.29652877577894,3380602042.8428345,42350.69706908742,62.0689697265625,90.147346496582,97.4890365600586,34.4803504943848,8.33449364,53.304,71.367,11.588,76.833,0.994607149162366,79824.0,12.188999999999991,87.811,Europe & Central Asia,High income
ARE,2020,71020.0,100.0,100.0,20.252271680142616,197.8438703,100.0,3.4135173225265887,3.29652877577894,349473015330.15656,37629.17416806525,105.32071685791,115.833160400391,120.353652954102,52.7062187194824,5.82477045,78.649,83.201,4.294,78.946,0.817694385518168,9287289.0,12.951999999999998,87.048,Middle East & North Africa,High income
ARE,2022,71020.0,100.0,100.0,20.252271680142616,212.2208173,100.0,3.4135173225265887,3.29652877577894,507063968277.74,53707.9800813801,105.32071685791,115.833160400391,120.353652954102,52.7062187194824,5.30695152,79.884,83.658,2.873,79.196,0.808075150558113,9441129.0,12.456999999999994,87.543,Middle East & North Africa,High income
ARG,2020,2736690.0,99.9,100.0,3.4056175404138016,121.6001889,85.51438646,0.979578858056912,7.95049431173226,385740508436.9652,8500.837938505336,103.837791442871,110.617813110352,112.416679382324,99.266227722168,10.34701538,49.6,63.66,11.461,75.892,0.970053991438048,45376763.0,7.888999999999996,92.111,Latin America & Caribbean,Upper middle income
ARG,2022,2736690.0,99.9,100.0,3.4056175404138016,132.3578095,88.37535691,2.051994832551212,11.7544674324012,631133384439.9445,13650.604629452397,105.479530334473,110.156112670898,116.559448242188,107.130661010742,9.70880699,56.351,68.413,6.805,76.064,0.925835473662058,46234830.0,7.653000000000006,92.347,Latin America & Caribbean,Upper middle income
ARM,2020,28470.0,97.9,100.0,2.404683761951064,124.3508359,76.50770055,1.116232856941147,2.8366738237729,12641698583.21524,4505.867741756952,101.986747741699,96.6205673217773,94.89111328125,53.3061294555664,12.24,54.556,72.361,12.18,72.173,-0.533006606500067,2805608.0,36.687,63.313,Europe & Central Asia,Upper middle income
ARM,2022,28470.0,97.9,100.0,2.404683761951064,135.2539805,78.61225758,3.60601921463938,1.19621469942515,19513474648.242935,7018.0515043479845,92.1473693847656,92.9023818969727,96.8645629882812,59.8064498901367,12.34,56.548,72.719,8.608,73.372,-0.377102034390101,2780469.0,36.427,63.573,Europe & Central Asia,Upper middle income
ASM,2020,200.0,97.9,100.0,2.404683761951064,135.2539805,78.61225758,3.60601921463938,1.19621469942515,721000000.0,15609.77721968434,92.1473693847656,92.9023818969727,96.8645629882812,59.8064498901367,12.34,56.548,72.719,8.608,73.372,-2.4212497099907,46189.0,12.846999999999994,87.153,East Asia & Pacific,High income
ASM,2022,200.0,97.9,100.0,2.404683761951064,135.2539805,78.61225758,3.60601921463938,1.19621469942515,871000000.0,19673.3901023197,92.1473693847656,92.9023818969727,96.8645629882812,59.8064498901367,12.34,56.548,72.719,8.608,73.372,-1.70649548061895,44273.0,12.804000000000002,87.196,East Asia & Pacific,High income
ATG,2020,440.0,100.0,100.0,5.121730121730122,198.5668652,95.68550784,3.60601921463938,1.19621469942515,1410796296.296296,15224.858589056115,104.976997375488,112.122001647949,120.935958862305,59.8064498901367,5.92146206,56.548,72.719,8.608,78.841,0.592053942582792,92664.0,75.56700000000001,24.433,Latin America & Caribbean,High income
ATG,2022,440.0,100.0,100.0,5.121730121730122,197.3825359,95.66338947,3.60601921463938,1.19621469942515,1867733333.3333333,19919.72668678832,104.976997375488,112.122001647949,120.935958862305,59.8064498901367,5.85133028,56.548,72.719,8.608,79.236,0.581875832853236,93763.0,75.654,24.346,Latin America & Caribbean,High income
AUS,2020,7692020.0,100.0,100.0,14.776136906625878,105.231579,96.39446689,3.068922681371735,7.17795187193903,1330381544909.3044,51868.24755678234,104.976997375488,99.9011077880859,137.490737915039,110.139221191406,10.6837368,60.829,77.697,6.456,83.2,1.23342825131378,25649248.0,13.759,86.241,East Asia & Pacific,High income
AUS,2022,7692020.0,100.0,100.0,14.776136906625878,107.0312028,96.24,6.2235952519426645,6.43731113488443,1692956646855.7017,65077.67666882105,104.976997375488,99.1329879760742,133.277267456055,106.240760803223,10.54363918,63.699,79.521,3.701,83.2,1.27269881377618,26014399.0,13.512,86.488,East Asia & Pacific,High income
