Year,Country,gold_medal,silver_medal,bronze_medal,total_medal,type_olympic,host_flag,Country_,gold_medal_sum,gold_medal_mean,silver_medal_sum,silver_medal_mean,bronze_medal_sum,bronze_medal_mean,total_medal_sum,total_medal_mean,host_flag_sum,Country Code,AG.LND.TOTL.K2,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PC,IT.CEL.SETS.P2,IT.NET.USER.ZS,NY.ADJ.DRES.GN.ZS,NY.ADJ.SVNX.GN.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.TER.ENRR,SH.XPD.CHEX.GD.ZS,SL.EMP.TOTL.SP.ZS,SL.TLF.ACTI.ZS,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,Region,Income Group,medals_per_capita,gdp_per_capita,gdp_population_interaction,urbanization_rate,employment_to_population_ratio,life_expectancy,primary_enrollment_ratio,secondary_enrollment_ratio,tertiary_enrollment_ratio,internet_penetration,mobile_penetration,health_expenditure,Income Group_Low income,Income Group_Lower middle income,Income Group_Upper middle income,host_flag_1
2022.0,AUS,1.0,2.0,1.0,4.0,w,0.0,AUS,172.0,5.0588235294117645,178.0,5.235294117647059,214.0,6.294117647058823,564.0,16.58823529411765,2.0,AUS,7692020.0,100.0,100.0,14.776136906625878,107.0312028,96.24,6.2235952519426645,6.43731113488443,1692956646855.7017,65077.67666882105,104.976997375488,99.1329879760742,133.277267456055,106.240760803223,10.54363918,63.699,79.521,3.701,83.2,1.27269881377618,26014399.0,13.512,86.488,East Asia & Pacific,High income,1.5376099982167569e-07,65077.67666882105,4.404124970100632e+19,86.488,63.699,83.2,99.1329879760742,133.277267456055,106.240760803223,96.24,107.0312028,10.54363918,0.0,0.0,0.0,0.0
2022.0,AUT,7.0,7.0,4.0,18.0,w,0.0,AUT,92.0,1.84,124.0,2.48,133.0,2.66,349.0,6.98,3.0,AUT,82520.0,100.0,100.0,6.632645737335458,123.4348071,93.61409139,0.0828769699169557,12.7766258435125,470941926750.74115,52084.68119533723,97.1591720581055,100.77562713623,101.458000183105,93.940071105957,12.1,58.441,78.469,4.992,81.09268292682928,0.956287797076634,9041851.0,40.744,59.256,Europe & Central Asia,High income,1.9907428246716295e-06,52084.68119533723,4.2581867313331154e+18,59.256,58.441,81.09268292682928,100.77562713623,101.458000183105,93.940071105957,93.61409139,123.4348071,12.1,0.0,0.0,0.0,0.0
2022.0,BEL,1.0,0.0,1.0,2.0,w,0.0,BEL,45.0,1.40625,57.0,1.78125,62.0,1.9375,164.0,5.125,1.0,BEL,30280.0,100.0,100.0,7.398130657746813,101.8707731,94.00783071,0.0313099758855987,12.126916285956,583613982019.263,49942.090642488656,47.148998260498,101.821136474609,143.163513183594,82.6882019042969,11.04290771,52.036,71.158,5.558,81.69756097560978,0.856132433382837,11685814.0,1.8469999999999944,98.153,Europe & Central Asia,High income,1.7114768384983708e-07,49942.090642488656,6.820004441676451e+18,98.153,52.036,81.69756097560978,101.821136474609,143.163513183594,82.6882019042969,94.00783071,101.8707731,11.04290771,0.0,0.0,0.0,0.0
2022.0,BLR,0.0,2.0,0.0,2.0,w,0.0,BLR,23.0,1.5333333333333334,39.0,2.6,51.0,3.4,113.0,7.533333333333333,0.0,BLR,202950.0,99.7,100.0,5.842407295900875,123.4472552,89.50733148,0.672071495838844,13.3506671279207,73775179924.60303,7994.648060748886,93.2138977050781,94.7119674682617,94.5358963012695,70.8675689697266,6.57,62.699,79.331,3.574,73.11146341463416,-0.804228426880244,9228071.0,19.674000000000007,80.326,Europe & Central Asia,Upper middle income,2.1673001865720365e-07,7994.648060748886,6.808025983820114e+17,80.326,62.699,73.11146341463416,94.7119674682617,94.5358963012695,70.8675689697266,89.50733148,123.4472552,6.57,0.0,0.0,1.0,0.0
2022.0,CAN,4.0,8.0,14.0,26.0,w,0.0,CAN,150.0,2.9411764705882355,185.0,3.627450980392157,225.0,4.411764705882353,560.0,10.980392156862745,3.0,CAN,8788700.0,100.0,100.0,13.591696342109334,91.23062536,92.83401664,2.171311720168907,7.61520074432484,2161483369422.0144,55509.39317640404,48.7290000915527,96.293083190918,109.334312438965,77.8022918701172,11.15471363,61.568,79.762,5.28,81.29560975609758,1.81192255344382,38939056.0,18.248000000000005,81.752,North America,High income,6.677100749437788e-07,55509.39317640403,8.416612196499251e+19,81.752,61.568,81.29560975609758,96.293083190918,109.334312438965,77.8022918701172,92.83401664,91.23062536,11.15471363,0.0,0.0,0.0,0.0
2022.0,CHN,9.0,4.0,2.0,15.0,w,1.0,CHN,287.0,15.105263157894736,233.0,12.263157894736842,195.0,10.263157894736842,715.0,37.63157894736842,2.0,CHN,9388210.0,87.8,100.0,7.756137906597689,124.8775379,75.61131603,1.011566517838115,16.806586216299,17881783387000.867,12662.583169225392,100.269378662109,100.171730041504,106.068328857422,71.9815521240234,5.38360548,63.568,75.933,4.98,78.587,-0.0130995013525784,1412175000.0,36.44,63.56,East Asia & Pacific,Upper middle income,1.0621913006532476e-08,12662.583169225392,2.525220745453795e+22,63.56,63.568,78.587,100.171730041504,106.068328857422,71.9815521240234,75.61131603,124.8775379,5.38360548,0.0,0.0,1.0,1.0
2022.0,CZE,1.0,0.0,1.0,2.0,w,0.0,CZE,29.0,2.0714285714285716,33.0,2.357142857142857,37.0,2.642857142857143,99.0,7.071428571428571,0.0,CZE,77186.83,100.0,100.0,8.304017495838886,128.4101866,84.54009378,0.222302201728212,9.78363439454468,290565654835.8094,27226.61563860233,98.3559036254883,99.8488922119141,100.097846984863,69.1061782836914,9.4887867,58.57,77.126,2.224,79.02926829268293,1.5709725672011,10672118.0,25.623000000000005,74.377,Europe & Central Asia,High income,1.8740422472839973e-07,27226.61563860233,3.1009509551550285e+18,74.377,58.57,79.02926829268293,99.8488922119141,100.097846984863,69.1061782836914,84.54009378,128.4101866,9.4887867,0.0,0.0,0.0,0.0
2022.0,ESP,0.0,1.0,0.0,1.0,w,0.0,ESP,49.0,2.0416666666666665,72.0,3.0,49.0,2.0416666666666665,170.0,7.083333333333333,2.0,ESP,499733.244,100.0,100.0,4.2795945712140995,124.0994495,94.4855432,0.0386458889686458,8.01104530787172,1417800466262.6514,29674.54428644133,99.1650314331055,102.899139404297,119.114921569824,94.5903778076172,10.74003887,50.082,74.1,12.917,83.08292682926832,0.761701877296859,47778340.0,18.696,81.304,Europe & Central Asia,High income,2.0929986265743013e-08,29674.54428644133,6.7740152729255485e+19,81.304,50.082,83.08292682926832,102.899139404297,119.114921569824,94.5903778076172,94.4855432,124.0994495,10.74003887,0.0,0.0,0.0,0.0
2022.0,EST,0.0,0.0,1.0,1.0,w,0.0,EST,14.0,0.9333333333333333,11.0,0.7333333333333333,19.0,1.2666666666666666,44.0,2.933333333333333,0.0,EST,42750.0,100.0,100.0,5.338399815873676,155.0300061,91.02128973,0.751175020158322,16.5455895254376,37921480881.542946,28114.143176020098,98.5223922729492,99.2638168334961,112.551849365234,71.4251937866211,6.94306278,61.512,80.899,5.571,77.94390243902441,1.33655151148286,1348840.0,30.391000000000005,69.609,Europe & Central Asia,High income,7.413777764597728e-07,28114.143176020094,5.115001027226038e+16,69.609,61.512,77.94390243902441,99.2638168334961,112.551849365234,71.4251937866211,91.02128973,155.0300061,6.94306278,0.0,0.0,0.0,0.0
2022.0,FIN,2.0,2.0,4.0,8.0,w,0.0,FIN,145.0,2.9,151.0,3.02,184.0,3.68,480.0,9.6,2.0,FIN,303947.7,100.0,100.0,6.570145127725746,128.6830329,92.98879471,0.0834290547581801,11.2338317691308,281887430795.72095,50734.71074808885,98.3830795288086,98.6190185546875,144.852462768555,104.944221496582,10.25,56.321,79.631,6.719,81.1878048780488,0.271944526506117,5556106.0,14.319000000000004,85.681,Europe & Central Asia,High income,1.4398573389348584e-06,50734.71074808885,1.56619644556869e+18,85.681,56.321,81.1878048780488,98.6190185546875,144.852462768555,104.944221496582,92.98879471,128.6830329,10.25,0.0,0.0,0.0,0.0
2022.0,FRA,5.0,7.0,2.0,14.0,w,0.0,FRA,266.0,5.215686274509804,291.0,5.705882352941177,323.0,6.333333333333333,880.0,17.254901960784313,7.0,FRA,547557.0,100.0,100.0,3.9536824518799136,118.8472962,85.33331549,0.0300782559451585,9.25134693841546,2779092236505.847,40886.253268027256,111.730003356934,102.696418762207,104.280151367188,70.794189453125,12.30787277,52.07,74.311,7.308,82.22926829268293,0.305015246719983,67971311.0,18.491,81.509,Europe & Central Asia,High income,2.0596925076228115e-07,40886.253268027256,1.8889854270522448e+20,81.509,52.07,82.22926829268293,102.696418762207,104.280151367188,70.794189453125,85.33331549,118.8472962,12.30787277,0.0,0.0,0.0,0.0
2022.0,GBR,1.0,1.0,0.0,2.0,w,0.0,GBR,303.0,6.586956521739131,330.0,7.173913043478261,328.0,7.130434782608695,961.0,20.891304347826086,4.0,GBR,241930.0,100.0,100.0,4.601142250901347,120.8191165,96.68023657,0.5615486683525158,3.29190335661587,3088839763445.0234,45564.15694480128,97.6750717163086,98.5245819091797,111.909187316895,82.6516494750977,11.34454918,59.873,77.552,3.73,82.05853658536587,1.13444824466953,67791000.0,15.602000000000004,84.398,Europe & Central Asia,High income,2.950244132701981e-08,45564.15694480128,2.093955364037016e+20,84.398,59.873,82.05853658536587,98.5245819091797,111.909187316895,82.6516494750977,96.68023657,120.8191165,11.34454918,0.0,0.0,0.0,0.0
2022.0,GER,12.0,10.0,4.0,26.0,w,0.0,GER,310.0,10.689655172413794,300.0,10.344827586206897,313.0,10.793103448275861,923.0,31.82758620689655,2.0,GER,349390.0,100.0,100.0,7.255221028168403,125.2251369,91.62984383,0.0295485628853888,14.580617422939,4082469490797.681,48717.991140212755,100.973701477051,101.346549987793,101.203536987305,75.6655426025391,12.65471077,59.375,79.88,3.135,80.70560975609757,0.720875455989295,83797985.0,22.352000000000004,77.648,Europe & Central Asia,High income,3.1026999038222695e-07,48717.991140212755,3.421027171528217e+20,77.648,59.375,80.70560975609757,101.346549987793,101.203536987305,75.6655426025391,91.62984383,125.2251369,12.65471077,0.0,0.0,0.0,0.0
2022.0,HUN,1.0,0.0,2.0,3.0,w,0.0,HUN,183.0,5.228571428571429,158.0,4.514285714285714,185.0,5.285714285714286,526.0,15.028571428571428,0.0,HUN,91260.0,100.0,100.0,4.591652907047882,104.0561504,90.46084106,0.319632177340444,11.6933898181752,177006128624.62692,18355.82780720649,94.2879486083984,101.455070495605,99.6919326782227,56.5243492126465,7.38,58.227,76.865,3.609,76.01707317073172,-0.690781547965424,9643048.0,27.447999999999993,72.552,Europe & Central Asia,High income,3.111049535375122e-07,18355.82780720649,1.7068785946214515e+18,72.552,58.227,76.01707317073172,101.455070495605,99.6919326782227,56.5243492126465,90.46084106,104.0561504,7.38,0.0,0.0,0.0,0.0
2022.0,ITA,2.0,7.0,8.0,17.0,w,0.0,ITA,257.0,5.468085106382978,232.0,4.9361702127659575,270.0,5.74468085106383,759.0,16.148936170212767,5.0,ITA,295717.0,100.0,100.0,4.732372770799354,132.971226,85.06074504,0.0856169250540911,7.74566955602098,2066972096553.7048,35068.835973844856,98.2387924194336,101.617156982422,102.331283569336,71.2871170043945,9.0,45.138,65.758,8.069,82.9,-0.326488181067642,58940425.0,28.343000000000004,71.657,Europe & Central Asia,High income,2.884268309907843e-07,35068.835973844856,1.2182821383401639e+20,71.657,45.138,82.9,101.617156982422,102.331283569336,71.2871170043945,85.06074504,132.971226,9.0,0.0,0.0,0.0,0.0
2022.0,JPN,3.0,6.0,9.0,18.0,w,0.0,JPN,186.0,5.166666666666667,175.0,4.861111111111111,208.0,5.777777777777778,569.0,15.805555555555555,5.0,JPN,364500.0,100.0,100.0,8.031495869666802,167.5231573,82.91407928,0.0144323671117113,3.62518603701698,4256410760723.75,34017.27180750242,79.7702407836914,102.218322753906,102.155380249023,63.1702690124512,10.82,60.875,81.266,2.6,83.99634146341464,-0.443851919148528,125124989.0,8.045000000000002,91.955,East Asia & Pacific,High income,1.4385615650283894e-07,34017.27180750242,5.3258334961504086e+20,91.955,60.875,83.99634146341464,102.218322753906,102.155380249023,63.1702690124512,82.91407928,167.5231573,10.82,0.0,0.0,0.0,0.0
2022.0,KOR,2.0,5.0,2.0,9.0,w,0.0,KOR,131.0,5.038461538461538,119.0,4.576923076923077,116.0,4.461538461538462,366.0,14.076923076923077,2.0,KOR,97600.0,100.0,100.0,10.990029581428546,148.5880603,97.16855413,0.0250258340350453,17.8645237393349,1673916511799.7087,32394.68337252032,96.0547332763672,99.0333633422852,97.9161987304688,103.276039123535,9.72047997,62.374,70.471,2.857,82.68048780487806,-0.187486566698935,51672569.0,18.572999999999993,81.427,East Asia & Pacific,High income,1.7417365101394514e-07,32394.683372520318,8.649556645620977e+19,81.427,62.374,82.68048780487806,99.0333633422852,97.9161987304688,103.276039123535,97.16855413,148.5880603,9.72047997,0.0,0.0,0.0,0.0
