Year,Country,gold_medal,silver_medal,bronze_medal,total_medal,type_olympic,host_flag
1924,AUT,3,1,0,4,w,0
1924,BEL,0,0,1,1,w,0
1924,CAN,1,0,0,1,w,0
1924,FIN,4,5,3,12,w,0
1924,FRA,0,0,4,4,w,1
1924,GBR,1,1,2,4,w,0
1924,NOR,4,7,6,17,w,0
1924,SUI,2,0,1,3,w,0
1924,SWE,1,1,0,2,w,0
1924,USA,1,2,1,4,w,0
1928,AUT,0,4,2,6,w,0
1928,BEL,0,0,1,1,w,0
1928,CAN,1,0,0,1,w,0
1928,FIN,2,1,1,4,w,0
1928,FRA,2,0,0,2,w,0
1928,GBR,0,0,1,1,w,0
1928,GER,0,0,1,1,w,0
1928,NOR,6,4,5,15,w,0
1928,SUI,0,0,1,1,w,1
1928,SWE,2,2,1,5,w,0
1928,TCH,0,0,1,1,w,0
1928,USA,2,2,2,6,w,0
1932,AUT,1,1,0,2,w,0
1932,CAN,1,1,5,7,w,0
1932,FIN,1,1,1,3,w,0
1932,FRA,2,0,0,2,w,0
1932,GER,0,0,2,2,w,0
1932,HUN,0,0,2,2,w,0
1932,NOR,3,4,3,10,w,0
1932,SUI,0,1,0,1,w,0
1932,SWE,1,2,0,3,w,0
1932,USA,6,5,2,13,w,1
1936,AUT,1,2,2,5,w,0
1936,CAN,0,1,0,1,w,0
1936,FIN,1,2,3,6,w,0
1936,FRA,0,0,1,1,w,0
1936,GBR,1,1,1,3,w,0
1936,GER,4,3,0,7,w,1
1936,HUN,0,0,2,2,w,0
1936,NOR,7,5,3,15,w,0
1936,SUI,1,2,0,3,w,0
1936,SWE,2,2,3,7,w,0
1936,USA,1,0,3,4,w,0
1948,AUT,1,3,4,8,w,0
1948,BEL,2,1,0,3,w,0
1948,CAN,2,0,2,4,w,0
1948,FIN,1,3,2,6,w,0
1948,FRA,2,1,2,5,w,0
1948,GBR,0,0,2,2,w,1
1948,HUN,0,2,0,2,w,0
1948,ITA,1,0,0,1,w,0
1948,NOR,4,3,3,10,w,0
1948,SUI,3,4,2,9,w,1
1948,SWE,4,3,3,10,w,0
1948,TCH,0,1,0,1,w,0
1948,USA,3,3,2,8,w,0
1952,AUT,2,4,2,8,w,0
1952,CAN,1,0,1,2,w,0
1952,FIN,3,4,2,9,w,1
1952,FRA,0,0,1,1,w,0
1952,FRG,4,2,2,8,w,0
1952,GBR,1,0,0,1,w,0
1952,HUN,0,0,2,2,w,0
1952,ITA,1,0,1,2,w,0
1952,NED,0,3,0,3,w,0
1952,NOR,7,3,6,16,w,1
1952,SUI,0,0,2,2,w,0
1952,SWE,0,0,4,4,w,0
1952,USA,4,7,1,12,w,0
1956,AUT,5,3,4,12,w,0
1956,CAN,0,2,2,4,w,0
1956,EUA,1,0,1,2,w,0
1956,FIN,3,3,1,7,w,0
1956,HUN,0,0,2,2,w,0
1956,ITA,1,2,0,3,w,1
1956,JPN,0,1,0,1,w,0
1956,NOR,2,1,1,4,w,0
1956,POL,0,0,1,1,w,0
1956,SUI,3,2,1,6,w,0
1956,SWE,2,4,4,10,w,0
1956,URS,6,3,6,15,w,0
1956,USA,2,3,2,7,w,0
1960,AUT,1,2,3,6,w,0
1960,CAN,3,1,1,5,w,0
